round, result, cumulative, average
1,True,1,1.0
2,False,1,0.5
3,False,1,0.3333333333333333
4,True,2,0.5
5,True,3,0.6
6,True,4,0.6666666666666666
7,True,5,0.7142857142857143
8,True,6,0.75
9,True,7,0.7777777777777778
10,False,7,0.7
11,True,8,0.7272727272727273
12,False,8,0.6666666666666666
13,True,9,0.6923076923076923
14,True,10,0.7142857142857143
15,True,11,0.7333333333333333
16,False,11,0.6875
17,True,12,0.7058823529411765
18,False,12,0.6666666666666666
19,False,12,0.631578947368421
20,True,13,0.65
21,False,13,0.6190476190476191
22,True,14,0.6363636363636364
23,True,15,0.6521739130434783
24,True,16,0.6666666666666666
25,False,16,0.64
26,False,16,0.6153846153846154
27,True,17,0.6296296296296297
28,True,18,0.6428571428571429
29,True,19,0.6551724137931034
30,True,20,0.6666666666666666
31,False,20,0.6451612903225806
32,True,21,0.65625
33,True,22,0.6666666666666666
34,False,22,0.6470588235294118
35,False,22,0.6285714285714286
36,False,22,0.6111111111111112
37,True,23,0.6216216216216216
38,True,24,0.631578947368421
39,True,25,0.6410256410256411
40,True,26,0.65
41,True,27,0.6585365853658537
42,True,28,0.6666666666666666
43,True,29,0.6744186046511628
44,True,30,0.6818181818181818
45,True,31,0.6888888888888889
46,True,32,0.6956521739130435
47,True,33,0.7021276595744681
48,True,34,0.7083333333333334
49,True,35,0.7142857142857143
50,True,36,0.72
51,True,37,0.7254901960784313
52,False,37,0.7115384615384616
53,True,38,0.7169811320754716
54,True,39,0.7222222222222222
55,True,40,0.7272727272727273
56,True,41,0.7321428571428571
57,True,42,0.7368421052631579
58,True,43,0.7413793103448276
59,False,43,0.7288135593220338
60,True,44,0.7333333333333333
61,False,44,0.7213114754098361
62,True,45,0.7258064516129032
63,False,45,0.7142857142857143
64,True,46,0.71875
65,True,47,0.7230769230769231
66,True,48,0.7272727272727273
67,True,49,0.7313432835820896
68,False,49,0.7205882352941176
69,True,50,0.7246376811594203
70,False,50,0.7142857142857143
71,True,51,0.7183098591549296
72,False,51,0.7083333333333334
73,False,51,0.6986301369863014
74,True,52,0.7027027027027027
75,True,53,0.7066666666666667
76,True,54,0.7105263157894737
77,True,55,0.7142857142857143
78,True,56,0.717948717948718
79,True,57,0.7215189873417721
80,True,58,0.725
81,True,59,0.7283950617283951
82,True,60,0.7317073170731707
83,True,61,0.7349397590361446
84,True,62,0.7380952380952381
85,True,63,0.7411764705882353
86,True,64,0.7441860465116279
87,False,64,0.735632183908046
88,True,65,0.7386363636363636
89,False,65,0.7303370786516854
90,True,66,0.7333333333333333
91,False,66,0.7252747252747253
92,True,67,0.7282608695652174
93,False,67,0.7204301075268817
94,True,68,0.723404255319149
95,False,68,0.7157894736842105
96,False,68,0.7083333333333334
97,True,69,0.711340206185567
98,True,70,0.7142857142857143
99,True,71,0.7171717171717171
100,True,72,0.72
