round, result, cumulative, average
1,0,0,0.0
2,True,1,0.5
3,True,2,0.6666666666666666
4,True,3,0.75
5,True,4,0.8
6,True,5,0.8333333333333334
7,True,6,0.8571428571428571
8,True,7,0.875
9,True,8,0.8888888888888888
10,True,9,0.9
11,True,10,0.9090909090909091
12,True,11,0.9166666666666666
13,True,12,0.9230769230769231
14,False,12,0.8571428571428571
15,True,13,0.8666666666666667
16,True,14,0.875
17,False,14,0.8235294117647058
18,True,15,0.8333333333333334
19,False,15,0.7894736842105263
20,True,16,0.8
21,True,17,0.8095238095238095
22,False,17,0.7727272727272727
23,True,18,0.782608695652174
24,True,19,0.7916666666666666
25,True,20,0.8
26,True,21,0.8076923076923077
27,False,21,0.7777777777777778
28,True,22,0.7857142857142857
29,True,23,0.7931034482758621
30,False,23,0.7666666666666667
31,True,24,0.7741935483870968
32,False,24,0.75
33,True,25,0.7575757575757576
34,True,26,0.7647058823529411
35,False,26,0.7428571428571429
36,False,26,0.7222222222222222
37,False,26,0.7027027027027027
38,True,27,0.7105263157894737
39,True,28,0.717948717948718
40,True,29,0.725
41,False,29,0.7073170731707317
42,False,29,0.6904761904761905
43,True,30,0.6976744186046512
44,True,31,0.7045454545454546
45,True,32,0.7111111111111111
46,False,32,0.6956521739130435
47,True,33,0.7021276595744681
48,True,34,0.7083333333333334
49,True,35,0.7142857142857143
50,True,36,0.72
51,False,36,0.7058823529411765
52,False,36,0.6923076923076923
53,True,37,0.6981132075471698
54,False,37,0.6851851851851852
55,True,38,0.6909090909090909
56,True,39,0.6964285714285714
57,True,40,0.7017543859649122
58,True,41,0.7068965517241379
59,False,41,0.6949152542372882
60,True,42,0.7
61,False,42,0.6885245901639344
62,True,43,0.6935483870967742
63,True,44,0.6984126984126984
64,True,45,0.703125
65,True,46,0.7076923076923077
66,True,47,0.7121212121212122
67,False,47,0.7014925373134329
68,True,48,0.7058823529411765
69,False,48,0.6956521739130435
70,False,48,0.6857142857142857
71,True,49,0.6901408450704225
72,False,49,0.6805555555555556
73,True,50,0.684931506849315
74,False,50,0.6756756756756757
75,False,50,0.6666666666666666
76,False,50,0.6578947368421053
77,True,51,0.6623376623376623
78,True,52,0.6666666666666666
79,True,53,0.6708860759493671
80,True,54,0.675
81,False,54,0.6666666666666666
82,False,54,0.6585365853658537
83,False,54,0.6506024096385542
84,False,54,0.6428571428571429
85,True,55,0.6470588235294118
86,True,56,0.6511627906976745
87,True,57,0.6551724137931034
88,True,58,0.6590909090909091
89,True,59,0.6629213483146067
90,True,60,0.6666666666666666
91,False,60,0.6593406593406593
92,True,61,0.6630434782608695
93,True,62,0.6666666666666666
94,True,63,0.6702127659574468
95,True,64,0.6736842105263158
96,False,64,0.6666666666666666
97,True,65,0.6701030927835051
98,False,65,0.6632653061224489
99,True,66,0.6666666666666666
100,True,67,0.67
