round, result, cumulative, average
1,False,0,0.0
2,True,1,0.5
3,True,2,0.6666666666666666
4,False,2,0.5
5,True,3,0.6
6,True,4,0.6666666666666666
7,False,4,0.5714285714285714
8,False,4,0.5
9,True,5,0.5555555555555556
10,True,6,0.6
11,True,7,0.6363636363636364
12,False,7,0.5833333333333334
13,True,8,0.6153846153846154
14,True,9,0.6428571428571429
15,False,9,0.6
16,True,10,0.625
17,True,11,0.6470588235294118
18,True,12,0.6666666666666666
19,True,13,0.6842105263157895
20,True,14,0.7
21,True,15,0.7142857142857143
22,True,16,0.7272727272727273
23,True,17,0.7391304347826086
24,True,18,0.75
25,True,19,0.76
26,True,20,0.7692307692307693
27,True,21,0.7777777777777778
28,True,22,0.7857142857142857
29,False,22,0.7586206896551724
30,False,22,0.7333333333333333
31,True,23,0.7419354838709677
32,False,23,0.71875
33,False,23,0.696969696969697
34,False,23,0.6764705882352942
35,True,24,0.6857142857142857
36,True,25,0.6944444444444444
37,True,26,0.7027027027027027
38,True,27,0.7105263157894737
39,True,28,0.717948717948718
40,True,29,0.725
41,True,30,0.7317073170731707
42,False,30,0.7142857142857143
43,True,31,0.7209302325581395
44,True,32,0.7272727272727273
45,True,33,0.7333333333333333
46,True,34,0.7391304347826086
47,True,35,0.7446808510638298
48,True,36,0.75
49,False,36,0.7346938775510204
50,False,36,0.72
51,True,37,0.7254901960784313
52,True,38,0.7307692307692307
53,True,39,0.7358490566037735
54,True,40,0.7407407407407407
55,True,41,0.7454545454545455
56,True,42,0.75
57,True,43,0.7543859649122807
58,True,44,0.7586206896551724
59,False,44,0.7457627118644068
60,True,45,0.75
61,True,46,0.7540983606557377
62,True,47,0.7580645161290323
63,True,48,0.7619047619047619
64,False,48,0.75
65,True,49,0.7538461538461538
66,True,50,0.7575757575757576
67,True,51,0.7611940298507462
68,False,51,0.75
69,True,52,0.7536231884057971
70,True,53,0.7571428571428571
71,True,54,0.7605633802816901
72,True,55,0.7638888888888888
73,True,56,0.7671232876712328
74,True,57,0.7702702702702703
75,True,58,0.7733333333333333
76,True,59,0.7763157894736842
77,False,59,0.7662337662337663
78,True,60,0.7692307692307693
79,True,61,0.7721518987341772
80,True,62,0.775
81,False,62,0.7654320987654321
82,True,63,0.7682926829268293
83,True,64,0.7710843373493976
84,True,65,0.7738095238095238
85,False,65,0.7647058823529411
86,True,66,0.7674418604651163
87,True,67,0.7701149425287356
88,True,68,0.7727272727272727
89,True,69,0.7752808988764045
90,True,70,0.7777777777777778
91,True,71,0.7802197802197802
92,True,72,0.782608695652174
93,True,73,0.7849462365591398
94,False,73,0.776595744680851
95,False,73,0.7684210526315789
96,False,73,0.7604166666666666
97,True,74,0.7628865979381443
98,True,75,0.7653061224489796
99,True,76,0.7676767676767676
100,True,77,0.77
