round, result, cumulative, average
1,TRUE,1,100.00%
2,FALSE,1,50.00%
3,TRUE,2,66.67%
4,TRUE,3,75.00%
5,FALSE,3,60.00%
6,FALSE,3,50.00%
7,TRUE,4,57.14%
8,TRUE,5,62.50%
9,TRUE,6,66.67%
10,TRUE,7,70.00%
11,FALSE,7,63.64%
12,TRUE,8,66.67%
13,FALSE,8,61.54%
14,TRUE,9,64.29%
15,FALSE,9,60.00%
16,FALSE,9,56.25%
17,TRUE,10,58.82%
18,TRUE,11,61.11%
19,FALSE,11,57.89%
20,FALSE,11,55.00%
21,TRUE,12,57.14%
22,TRUE,13,59.09%
23,TRUE,14,60.87%
24,FALSE,14,58.33%
25,FALSE,14,56.00%
26,TRUE,15,57.69%
27,FALSE,15,55.56%
28,TRUE,16,57.14%
29,TRUE,17,58.62%
30,TRUE,18,60.00%
31,TRUE,19,61.29%
32,FALSE,19,59.38%
33,FALSE,19,57.58%
34,TRUE,20,58.82%
35,TRUE,21,60.00%
36,TRUE,22,61.11%
37,FALSE,22,59.46%
38,TRUE,23,60.53%
39,TRUE,24,61.54%
40,TRUE,25,62.50%
