round, result, cumulative, average,type
1,TRUE,1,1,class
2,TRUE,2,1,class
3,FALSE,2,0.666666667,class
4,FALSE,2,0.5,class
5,TRUE,3,0.6,class
6,TRUE,4,0.666666667,class
7,TRUE,5,0.714285714,class
8,FALSE,5,0.625,class
9,TRUE,6,0.666666667,class
10,TRUE,7,0.7,class
11,TRUE,8,0.727272727,class
12,TRUE,9,0.75,class
13,TRUE,10,0.769230769,class
14,TRUE,11,0.785714286,class
15,TRUE,12,0.8,class
16,TRUE,13,0.8125,class
17,FALSE,13,0.764705882,class
18,TRUE,14,0.777777778,class
19,TRUE,15,0.789473684,class
20,FALSE,15,0.75,class
21,TRUE,16,0.761904762,class
22,TRUE,17,0.772727273,class
23,FALSE,17,0.739130435,class
24,TRUE,18,0.75,class
25,TRUE,19,0.76,class
26,TRUE,20,0.769230769,class
27,TRUE,21,0.777777778,class
28,FALSE,21,0.75,class
29,TRUE,22,0.75862069,class
30,FALSE,22,0.733333333,class
31,TRUE,23,0.741935484,class
32,FALSE,23,0.71875,class
33,FALSE,23,0.696969697,class
34,FALSE,23,0.676470588,class
35,FALSE,23,0.657142857,class
36,TRUE,24,0.666666667,class
37,FALSE,24,0.648648649,class
38,TRUE,25,0.657894737,class
39,TRUE,26,0.666666667,class
40,FALSE,26,0.65,class
41,TRUE,27,0.658536585,class
42,FALSE,27,0.642857143,class
43,TRUE,28,0.651162791,class
44,TRUE,29,0.659090909,class
45,TRUE,30,0.666666667,class
46,FALSE,30,0.652173913,class
47,TRUE,31,0.659574468,class
48,TRUE,32,0.666666667,class
49,TRUE,33,0.673469388,class
50,FALSE,33,0.66,class
51,FALSE,33,0.647058824,class
52,TRUE,34,0.653846154,class
53,FALSE,34,0.641509434,class
54,TRUE,35,0.648148148,class
55,TRUE,36,0.654545455,class
56,TRUE,37,0.660714286,class
57,TRUE,38,0.666666667,class
58,FALSE,38,0.655172414,class
59,FALSE,38,0.644067797,class
60,TRUE,39,0.65,class
61,TRUE,40,0.655737705,class
62,FALSE,40,0.64516129,class
63,TRUE,41,0.650793651,class
64,TRUE,42,0.65625,class
