round, result, cumulative, average
1,True,1,1.0
2,True,2,1.0
3,False,2,0.6666666666666666
4,False,2,0.5
5,False,2,0.4
6,True,3,0.5
7,True,4,0.5714285714285714
8,True,5,0.625
9,True,6,0.6666666666666666
10,True,7,0.7
11,True,8,0.7272727272727273
12,True,9,0.75
13,False,9,0.6923076923076923
14,True,10,0.7142857142857143
15,True,11,0.7333333333333333
16,False,11,0.6875
17,True,12,0.7058823529411765
18,False,12,0.6666666666666666
19,True,13,0.6842105263157895
20,True,14,0.7
21,True,15,0.7142857142857143
22,True,16,0.7272727272727273
23,True,17,0.7391304347826086
24,True,18,0.75
25,True,19,0.76
26,True,20,0.7692307692307693
27,True,21,0.7777777777777778
28,True,22,0.7857142857142857
29,True,23,0.7931034482758621
30,True,24,0.8
31,True,25,0.8064516129032258
32,True,26,0.8125
33,False,26,0.7878787878787878
34,True,27,0.7941176470588235
35,True,28,0.8
36,True,29,0.8055555555555556
37,True,30,0.8108108108108109
38,True,31,0.8157894736842105
39,True,32,0.8205128205128205
40,True,33,0.825
41,False,33,0.8048780487804879
42,True,34,0.8095238095238095
43,False,34,0.7906976744186046
44,True,35,0.7954545454545454
45,True,36,0.8
46,True,37,0.8043478260869565
47,True,38,0.8085106382978723
48,True,39,0.8125
49,True,40,0.8163265306122449
50,True,41,0.82
51,True,42,0.8235294117647058
52,True,43,0.8269230769230769
53,True,44,0.8301886792452831
54,False,44,0.8148148148148148
55,True,45,0.8181818181818182
56,True,46,0.8214285714285714
57,True,47,0.8245614035087719
58,True,48,0.8275862068965517
59,True,49,0.8305084745762712
60,True,50,0.8333333333333334
61,True,51,0.8360655737704918
62,True,52,0.8387096774193549
63,True,53,0.8412698412698413
64,True,54,0.84375
65,True,55,0.8461538461538461
66,True,56,0.8484848484848485
67,True,57,0.8507462686567164
68,True,58,0.8529411764705882
69,False,58,0.8405797101449275
70,True,59,0.8428571428571429
71,True,60,0.8450704225352113
72,False,60,0.8333333333333334
73,True,61,0.8356164383561644
74,True,62,0.8378378378378378
75,True,63,0.84
76,False,63,0.8289473684210527
77,True,64,0.8311688311688312
78,True,65,0.8333333333333334
79,True,66,0.8354430379746836
80,True,67,0.8375
81,False,67,0.8271604938271605
82,True,68,0.8292682926829268
83,True,69,0.8313253012048193
84,True,70,0.8333333333333334
85,True,71,0.8352941176470589
86,True,72,0.8372093023255814
87,True,73,0.8390804597701149
88,True,74,0.8409090909090909
89,True,75,0.8426966292134831
90,True,76,0.8444444444444444
91,True,77,0.8461538461538461
92,True,78,0.8478260869565217
93,True,79,0.8494623655913979
94,True,80,0.851063829787234
95,True,81,0.8526315789473684
96,False,81,0.84375
97,False,81,0.8350515463917526
98,True,82,0.8367346938775511
99,True,83,0.8383838383838383
100,True,84,0.84
